Timestamp,CPU_Usage,Memory_Usage
2026-06-14 19:13:22,46.0,94.7
2026-06-14 19:13:24,44.1,91.0
2026-06-14 19:13:26,8.6,90.1
2026-06-14 19:13:28,22.5,90.2
2026-06-14 19:13:30,23.0,91.3
2026-06-14 19:13:32,42.7,93.1
2026-06-14 19:13:34,83.7,95.3
2026-06-14 19:13:36,93.2,94.7
2026-06-14 19:13:38,86.0,93.9
2026-06-14 19:13:40,82.4,93.5
2026-06-14 19:13:42,97.0,95.3
2026-06-14 19:13:45,97.4,92.1
2026-06-14 19:13:47,86.4,94.6
2026-06-14 19:13:49,69.8,91.5
2026-06-14 19:13:51,41.7,91.8
2026-06-14 19:13:53,88.7,93.5
2026-06-14 19:13:55,46.0,91.0
2026-06-14 19:13:57,49.0,88.5
2026-06-14 19:13:59,50.6,91.7
2026-06-14 19:14:01,38.8,92.0
2026-06-14 19:14:03,41.3,90.4
2026-06-14 19:14:05,28.2,89.1
2026-06-14 19:14:07,14.2,89.8
2026-06-14 19:14:09,17.7,89.6
2026-06-14 19:14:11,32.6,89.9
2026-06-14 19:14:13,25.0,90.1
2026-06-14 19:14:15,22.5,90.2
2026-06-14 19:14:17,43.8,87.6
2026-06-14 19:14:19,44.6,88.4
2026-06-14 19:14:21,29.0,89.0
2026-06-14 19:14:23,46.1,90.5
2026-06-14 19:14:25,54.8,91.1
2026-06-14 19:14:27,21.3,91.5
2026-06-14 19:14:29,60.2,91.3
2026-06-14 19:14:31,24.5,91.5
2026-06-14 19:14:33,31.0,92.3
2026-06-14 19:14:35,46.4,94.5
2026-06-14 19:14:37,41.0,92.4
2026-06-14 19:14:39,65.6,95.0
2026-06-14 19:14:41,56.2,94.7
2026-06-14 19:14:43,48.7,92.7
2026-06-14 19:14:45,36.0,93.1
2026-06-14 19:14:47,31.5,93.3
2026-06-14 19:14:49,46.4,94.1
2026-06-14 19:14:51,66.8,94.9
2026-06-14 19:14:53,36.7,92.2
2026-06-14 19:14:55,16.2,92.1
2026-06-14 19:14:57,23.1,92.1
2026-06-14 19:14:59,55.2,93.0
2026-06-14 19:15:01,49.5,92.4
2026-06-14 19:15:03,33.8,92.5
2026-06-14 19:15:05,27.3,92.7
2026-06-14 19:15:07,29.6,92.7
2026-06-14 19:15:09,28.7,93.2
2026-06-14 19:15:11,34.6,93.4
2026-06-14 19:15:13,24.4,93.5
2026-06-14 19:15:15,77.3,95.0
2026-06-14 19:15:17,29.6,92.2
